记录日,股票,现价,盈亏%,CMF周,CMF月,red_ratio
2026-07-29,5026.KL,1.87,5.06,0.2891463915142133,0.3210149489154745,0.611
2026-07-29,7115.KL,0.945,1.72,0.10721792802843942,-0.09461324824022448,0.0
2026-07-29,7103.KL,2.89,-0.34,0.20010093154710365,0.04081569743955806,1.0
2026-07-29,5026.KL,1.87,5.06,0.2891463915142133,0.32101507123913564,0.611
2026-07-29,7115.KL,0.945,1.72,0.10721792802843928,-0.0946132633147051,0.0
2026-07-29,7103.KL,2.89,-0.34,0.2001009315471037,0.04081569743955806,1.0
2026-07-29,5026.KL,1.87,5.06,0.2891463915142133,0.32101494891547455,0.611
2026-07-29,7115.KL,0.945,1.72,0.10721792802843928,-0.0946132633147051,0.0
2026-07-29,7103.KL,2.89,-0.34,0.20010093154710368,0.04081569743955806,1.0
2026-07-29,5026.KL,1.88,5.62,0.29112556901473613,0.3238834176014892,0.611
2026-07-29,7115.KL,0.95,2.26,0.10569789426819884,-0.0908896366454006,0.0
2026-07-29,7103.KL,2.98,2.76,0.20625485665405457,0.06557450824156634,1.0
2026-07-29,5026.KL,1.88,5.62,0.29112556901473613,0.3238834176014892,0.611
2026-07-29,7115.KL,0.95,2.26,0.10569789426819909,-0.09088956330258392,0.0
2026-07-29,7103.KL,2.98,3.11,0.20625485665405457,0.06557450824156633,1.0
2026-07-29,7233.KL,2.57,4.18,0.12350872824921201,0.16502488985915909,0.0
2026-07-30,5026.KL,1.9,6.74,0.29590118241923485,0.32971165670147085,0.611
2026-07-30,7115.KL,0.965,3.88,0.1354458695994704,-0.08113504706707211,0.0
2026-07-30,7103.KL,2.94,1.73,0.2005575601042708,0.05410401062804919,1.0
2026-07-30,7233.KL,2.54,2.96,0.11438179247540387,0.15817157588247285,0.0
2026-07-30,5026.KL,1.9,6.74,0.29590118241923485,0.32971177896092285,0.611
2026-07-30,7115.KL,0.965,3.88,0.1354458695994704,-0.08113510945337903,0.0
2026-07-30,7103.KL,2.94,1.73,0.2005575601042708,0.05410401062804919,1.0
2026-07-30,7233.KL,2.54,2.96,0.11438179247540382,0.1581715473586052,0.0
2026-07-30,5026.KL,1.88,5.62,0.29078433963950656,0.32387379720578785,0.611
2026-07-30,7115.KL,0.965,3.88,0.13587971948586397,-0.0805009930085924,0.0
2026-07-30,7103.KL,2.94,1.73,0.20085266512822758,0.05413569292562025,1.0
2026-07-30,7233.KL,2.52,2.15,0.10738333768734927,0.15335652369703512,0.0
2026-07-31,5026.KL,1.89,6.18,0.29336249854544455,0.3268324835782458,0.611
2026-07-31,7115.KL,0.98,5.49,0.1732409303936781,-0.07043007911150027,0.0
2026-07-31,7103.KL,3.0,3.81,0.21442573236910042,0.07346151399793482,1.0
2026-07-31,7233.KL,2.57,4.18,0.12516428855507192,0.1655511041572648,0.0
2026-08-03,5026.KL,1.88,5.62,0.30403173379466397,0.3688788941090686,0.667
2026-08-03,7115.KL,1.03,10.87,0.2131427201611444,-0.1283488234206232,0.0
2026-08-03,7103.KL,3.0,3.81,0.27190418726503734,0.05152955658663731,1.0
