ticker,date,resonance,red_ratio,ret_5d,exc_5d,ret_10d,exc_10d,ret_20d,exc_20d,ret_60d,exc_60d,month,year
7233.KL,2022-08-15,60.0,0.611,-0.0744337162520197,-0.0633699503592445,-0.0763678614988463,-0.0747454896657341,-0.0763678614988463,-0.0656165740470877,-0.4321130456239264,-0.4083099800886751,8,2022
7233.KL,2021-12-17,60.0,1.0,-0.0023981112474531,-0.0120118563705653,0.0287768855843821,-0.0148446742622621,-0.1342926891086139,-0.1697917509939489,-0.3597121932674157,-0.4058569832973121,12,2021
5142.KL,2007-11-28,60.0,0.722,0.0888889648217265,0.0441129067466337,0.0722221191705139,0.0304096994908045,0.0777777343875849,0.0189007673639352,-0.3888889160077594,-0.3821714666554892,11,2007
7233.KL,2018-11-29,100.0,0.611,0.0319995842131819,0.0396631423807297,-0.0640005699549641,-0.0520100690942026,-0.1720002032216471,-0.1694830076020855,-0.327999971969428,-0.3306056076523525,11,2018
5142.KL,2007-12-28,85.0,0.778,0.0103093894776506,-0.0060895903903315,0.0309277155198377,-0.0096170657517369,0.0,0.040455023691277,-0.4560850462129896,-0.318203568060862,12,2007
5142.KL,2008-01-29,60.0,0.833,-0.0670102163611239,-0.086772507615175,-0.0773197870040205,-0.1051843468932896,-0.4329896930562531,-0.4105914391232769,-0.3457257910014316,-0.278610240834885,1,2008
7233.KL,2021-11-18,60.0,1.0,0.0023639056566719,0.0064261867570071,-0.0307328620162472,-0.0162623324400786,-0.0141843832489007,0.0001089437440194,-0.2056738419017213,-0.2577872630907923,11,2021
5681.KL,2014-04-11,60.0,1.0,0.0013217143816537,0.0013055715243508,0.0118969885199693,0.0074061773967368,-0.1070719222515449,-0.1143155188248051,-0.2229572063300023,-0.2445423808879895,4,2014
5681.KL,2014-03-14,60.0,1.0,-0.0092408587666418,-0.017749980261673,0.0118809929123151,-0.0133860173002671,-0.0013199697586403,-0.027656190725166,-0.2007686751051699,-0.240372685047863,3,2014
7233.KL,2018-01-05,60.0,0.611,-0.0159995473147757,-0.0185848888319238,-0.0720016492782518,-0.0779753372525158,-0.0800000405499793,-0.0769636760223986,-0.2000000552954264,-0.1988834090748676,1,2018
8869.KL,2018-01-15,100.0,1.0,-0.0157896263269858,-0.0197547670507058,0.0175437932122459,-0.0068878515656984,-0.0122805536487631,-0.0172205667723026,-0.1694381863067102,-0.1955676012529041,1,2018
8869.KL,2022-04-25,60.0,1.0,-0.0534847481110684,-0.0490821769554641,-0.222042052320968,-0.1898530107799945,-0.1118315450547129,-0.0846488312884785,-0.2684476573318058,-0.1890189597294198,4,2022
0225.KL,2025-12-09,85.0,0.778,0.0,-0.0211501971409364,0.105263248670683,0.0665622636428371,0.0909091327210418,0.0565881499029348,-0.1244018016435191,-0.1786154268398678,12,2025
5031.KL,2017-12-04,60.0,1.0,-0.0054645713187568,-0.0091653796650248,0.0054644328138824,-0.0170148942983989,-0.0054645713187568,-0.0460744176764602,-0.0874317560513645,-0.1708696393403376,12,2017
5681.KL,2009-03-06,85.0,0.833,-0.0133329125214193,0.0038770790894645,-0.0133329125214193,-0.0117016717828015,0.0200007381597415,-0.0368495341807251,0.0666674969876952,-0.170544505849072,3,2009
8869.KL,2022-02-25,85.0,0.889,0.0696297657902358,0.0619525543912189,-0.0355555852088034,-0.0207916817380069,-0.0726495492627199,-0.0799247473742852,-0.1868991234741498,-0.1586529735451272,2,2022
7233.KL,2018-12-28,85.0,0.611,-0.1932365085030815,-0.1856127679053354,-0.2512076303207866,-0.2418049976788751,-0.2318846283264712,-0.2309036333545935,-0.1835755364646136,-0.1549479129361151,12,2018
0099.KL,2017-07-24,60.0,1.0,0.0,0.0011123564539883,-0.0762332424662833,-0.0852685060225734,-0.0717487662443988,-0.0772141803138236,-0.158143735001161,-0.1538190821033463,7,2017
7233.KL,2020-09-29,85.0,0.833,0.0179642323283419,0.014260564399197,0.0508982928250021,0.036735166013357,0.0029940793256828,0.0053546410455406,-0.0568861266420274,-0.1523711810038596,9,2020
0225.KL,2026-01-08,85.0,0.833,-0.0175437782869815,-0.044850264003233,0.0307017174031734,0.0022093092443487,-0.0964912021822214,-0.134381204877965,-0.1359648614293634,-0.151981029164128,1,2026
0099.KL,2017-06-23,85.0,1.0,-0.0170940553289137,-0.0082261985981467,-0.025641039135695,-0.0146714148155041,-0.0854698380678132,-0.0740674847850894,-0.1456780936085946,-0.1495444596608017,6,2017
5031.KL,2017-11-06,85.0,1.0,-0.0400844639114362,-0.037329441084865,-0.0327005892568327,-0.0189657614299951,-0.0348101149484292,-0.0180735019127614,-0.0759492748639119,-0.1484342883580729,11,2017
0099.KL,2016-06-01,85.0,1.0,-0.0086959214106276,-0.0279704222319849,-0.0347829418053411,-0.0356805507432447,-0.0130434637075336,-0.0300000920842242,-0.1130436310708967,-0.1461208206362979,6,2016
8869.KL,2022-03-25,60.0,0.944,-0.0191999882298427,-0.018644874014579,0.0160001383963548,0.0135115273361285,-0.0127998843679053,-0.0044919769558705,-0.2473190556582929,-0.1442940143806668,3,2022
8869.KL,2015-04-03,85.0,0.722,0.0150592672251492,0.009722700189483,0.0331327736458908,0.0269513388838924,-0.132531094583563,-0.1286608857494552,-0.208904693482262,-0.1391970841232276,4,2015
