代码,名称,Tier,日,周,月,red_ratio,red_streak,共振(min),完整SweetSpot,20日均成交额(MYR)
0151.KL,KGB,Tier 1,85,100,100,1.00,18,85,否,25721496
5330.KL,TMK,Tier 1B ⭐新股,85,100,N/A,N/A,N/A,N/A,否,2913108
5327.KL,MEGAFB,Tier 1B ⭐新股,100,100,N/A,N/A,N/A,N/A,否,8151679
0291.KL,CHB,Tier 1B ⭐新股,100,100,N/A,N/A,N/A,N/A,否,3402380
0225.KL,SCGBHD,Tier 2,85,85,100,1.00,18,85,否,6324623
8907.KL,EG,Tier 2,85,85,100,0.61,4,85,是,13121738
5916.KL,MSC,Tier 2,85,85,100,0.33,2,85,否,1937182
6491.KL,KFIMA,Tier 2,85,85,100,0.89,16,85,否,505964
5211.KL,SUNWAY,Tier 2,60,60,100,1.00,18,60,否,10978862
4731.KL,SCIENTX,Tier 3,85,85,85,0.00,0,85,否,3842390
7233.KL,DUFU,Tier 3,85,85,85,0.00,0,85,否,11894500
6971.KL,KOBAY,Tier 3,85,85,85,0.00,0,85,否,2041185
8869.KL,PMETAL,Tier 3,60,85,85,0.28,0,60,否,78154764
5183.KL,PCHEM,Tier 3,60,60,60,0.00,0,60,否,28609940
3794.KL,MCEMENT,Tier 3,60,60,85,0.33,0,60,否,6824625
5273.KL,CHINHIN,Tier 3,60,60,85,0.00,0,60,否,377449
9822.KL,SAM,Tier 3,60,85,85,0.00,0,60,否,3280577
7172.KL,PMBTECH,Tier 3,60,85,60,0.00,0,60,否,401316
3476.KL,KSENG,Tier 3,60,60,85,0.00,0,60,否,98661
7100.KL,UCHITEC,Tier 3,60,60,85,0.00,0,60,否,294820
4758.KL,ANCOMNY,Tier 3,60,60,85,0.00,0,60,否,483328
5302.KL,ATECH,Tier 3,60,60,60,0.00,0,60,否,726058
3034.KL,HAPSENG,Tier 3,60,60,-55,0.00,0,-55,否,354432
5151.KL,HEXTAR,Tier 3,60,-55,85,0.11,0,-55,否,8219367
5000.KL,HUMEIND,Tier 3,-55,60,85,0.06,0,-55,否,125725
3395.KL,BJCORP,Tier 3,60,-55,60,0.00,0,-55,否,362093
2852.KL,CMSB,Tier 3,-55,-55,60,0.00,0,-55,否,1881691
7241.KL,NGGB,Tier 3,-55,-55,60,0.00,0,-55,否,2891340
5271.KL,PECCA,Tier 3,-90,60,85,0.50,0,-90,否,2019396
6963.KL,VS,Tier 3,60,-90,-90,0.00,0,-90,否,14801644
5284.KL,LCTITAN,Tier 3,60,-55,-90,0.00,0,-90,否,378948
0161.KL,HEXIND,Tier 3,-55,-90,60,0.00,0,-90,否,318806
5340.KL,UMSINT,Tier 3 ⭐新股,85,N/A,N/A,N/A,N/A,N/A,否,272616
0270.KL,NATGATE,Tier 3 ⭐新股,85,85,N/A,N/A,N/A,N/A,否,44862514
5317.KL,CPETECH,Tier 3 ⭐新股,85,85,N/A,N/A,N/A,N/A,否,1949644
