记录日,股票,双满共振,dwm月分数,当日收盘
2026-07-29,7233.KL,False,50.0,2.57
2026-07-29,5211.KL,False,,5.14
2026-07-29,8907.KL,True,70.0,1.8
2026-07-29,6459.KL,False,40.0,2.67
2026-07-29,5249.KL,False,,3.79
2026-07-29,5026.KL,False,60.0,1.88
2026-07-29,5286.KL,False,,5.51
2026-07-29,0225.KL,False,,2.27
2026-07-29,0099.KL,False,60.0,1.93
2026-07-29,5031.KL,False,50.0,6.01
2026-07-29,5681.KL,False,-50.0,19.12
2026-07-29,7163.KL,True,70.0,3.7
2026-07-29,8869.KL,False,50.0,7.9
2026-07-29,1066.KL,False,40.0,8.49
2026-07-29,0215.KL,False,,3.0
2026-07-29,7103.KL,False,60.0,2.98
2026-07-29,5263.KL,False,,7.7
2026-07-29,4863.KL,False,60.0,7.67
2026-07-29,5243.KL,False,,0.245
2026-07-29,5142.KL,False,-70.0,0.71
2026-07-30,7233.KL,False,50.0,2.54
2026-07-30,5211.KL,False,,5.17
2026-07-30,8907.KL,True,70.0,1.77
2026-07-30,6459.KL,False,40.0,2.66
2026-07-30,5249.KL,False,,3.79
2026-07-30,5026.KL,False,60.0,1.9
2026-07-30,5286.KL,False,,5.43
2026-07-30,0225.KL,False,,2.26
2026-07-30,0099.KL,False,60.0,1.92
2026-07-30,5031.KL,False,50.0,6.0
2026-07-30,5681.KL,False,-50.0,19.16
2026-07-30,7163.KL,True,70.0,3.7
2026-07-30,8869.KL,False,50.0,7.9
2026-07-30,1066.KL,False,40.0,8.42
2026-07-30,0215.KL,False,,3.0
2026-07-30,7103.KL,False,60.0,2.94
2026-07-30,5263.KL,False,,7.71
2026-07-30,4863.KL,False,60.0,7.65
2026-07-30,5243.KL,False,,0.25
2026-07-30,5142.KL,False,-70.0,0.705
2026-07-30,7233.KL,False,50.0,2.52
2026-07-30,5211.KL,False,,5.21
2026-07-30,8907.KL,True,70.0,1.78
2026-07-30,6459.KL,False,40.0,2.62
2026-07-30,5249.KL,False,,3.79
2026-07-30,5026.KL,False,60.0,1.88
2026-07-30,5286.KL,False,,5.43
2026-07-30,0225.KL,False,,2.25
2026-07-30,0099.KL,False,60.0,1.94
2026-07-30,5031.KL,False,50.0,6.0
2026-07-30,5681.KL,False,-50.0,19.2
2026-07-30,7163.KL,True,70.0,3.69
2026-07-30,8869.KL,False,50.0,7.91
2026-07-30,1066.KL,False,40.0,8.5
2026-07-30,0215.KL,False,,3.0
2026-07-30,7103.KL,False,60.0,2.94
2026-07-30,5263.KL,False,,7.76
2026-07-30,4863.KL,False,60.0,7.7
2026-07-30,5243.KL,False,,0.245
2026-07-30,5142.KL,False,-70.0,0.71
2026-07-31,7233.KL,False,50.0,2.57
2026-07-31,5211.KL,False,,5.28
2026-07-31,8907.KL,True,70.0,1.84
2026-07-31,6459.KL,False,40.0,2.7
