记录日,股票,共振,red_ratio,连续红月,当日收盘
2026-07-19,1066.KL,85.0,0.611,9,8.529999732971191
2026-07-19,5263.KL,85.0,0.833,15,7.400000095367432
2026-07-21,1066.KL,85.0,0.611,9,8.369999885559082
2026-07-21,5263.KL,85.0,0.833,15,7.519999980926514
2026-07-22,1066.KL,85.0,0.611,9,8.470000267028809
2026-07-22,5263.KL,85.0,0.833,15,7.579999923706055
2026-07-23,1066.KL,85.0,0.611,9,8.460000038146973
2026-07-23,5263.KL,85.0,0.833,15,7.730000019073486
2026-07-25,1066.KL,85.0,0.611,9,8.449999809265137
2026-07-25,5263.KL,85.0,0.833,15,7.650000095367432
2026-07-29,1066.KL,85.0,0.611,9,8.489999771118164
2026-07-29,5263.KL,85.0,0.833,15,7.699999809265137
2026-07-30,1066.KL,85.0,0.611,9,8.420000076293945
2026-07-30,5263.KL,85.0,0.833,15,7.710000038146973
2026-07-31,1066.KL,85.0,0.611,9,8.550000190734863
2026-07-31,5263.KL,85.0,0.833,15,7.920000076293945
2026-07-31,8907.KL,85.0,0.611,3,1.840000033378601
2026-07-31,5026.KL,85.0,0.611,11,1.8899999856948853
2026-07-31,4863.KL,85.0,0.833,4,7.75
2026-08-03,8907.KL,85.0,0.611,4,1.809999942779541
2026-08-03,5026.KL,85.0,0.667,12,1.8799999952316284
2026-08-03,1066.KL,85.0,0.833,12,8.65999984741211
2026-08-04,8907.KL,85.0,0.611,4,1.7999999523162842
2026-08-04,5026.KL,85.0,0.667,12,1.8700000047683716
2026-08-04,1066.KL,85.0,0.833,12,8.739999771118164
2026-08-05,8907.KL,85.0,0.611,4,1.7000000476837158
2026-08-05,5026.KL,85.0,0.667,12,1.8799999952316284
2026-08-05,1066.KL,85.0,0.833,12,8.850000381469727
2026-08-06,8907.KL,85.0,0.611,4,1.7999999523162842
2026-08-06,5026.KL,85.0,0.667,12,1.8799999952316284
2026-08-06,1066.KL,85.0,0.833,12,8.859999656677246
2026-08-07,8907.KL,85.0,0.611,4,1.809999942779541
2026-08-07,5026.KL,85.0,0.667,12,1.8600000143051147
2026-08-07,1066.KL,85.0,0.833,12,8.819999694824219
2026-08-08,8907.KL,85.0,0.611,4,1.7999999523162842
2026-08-08,5026.KL,85.0,0.667,12,1.8799999952316284
2026-08-08,1066.KL,85.0,0.833,12,8.859999656677246
2026-08-10,8907.KL,85.0,0.611,4,1.8300000429153442
2026-08-10,5026.KL,85.0,0.667,12,1.850000023841858
2026-08-10,1066.KL,85.0,0.833,12,8.880000114440918
2026-08-15,8907.KL,85.0,0.611,4,1.7999999523162842
2026-08-15,5026.KL,85.0,0.667,12,1.8700000047683716
2026-08-15,1066.KL,85.0,0.833,12,8.649999618530273
2026-08-17,8907.KL,85.0,0.611,4,1.7899999618530273
2026-08-17,5026.KL,85.0,0.667,12,1.8899999856948853
2026-08-17,1066.KL,85.0,0.833,12,8.609999656677246
2026-08-18,8907.KL,85.0,0.611,4,1.7799999713897705
2026-08-18,5026.KL,85.0,0.667,12,1.8899999856948853
2026-08-18,1066.KL,85.0,0.833,12,8.680000305175781
2026-08-19,8907.KL,85.0,0.611,4,1.7799999713897705
2026-08-19,5026.KL,85.0,0.667,12,1.8899999856948853
2026-08-19,1066.KL,85.0,0.833,12,8.600000381469727
2026-08-20,8907.KL,85.0,0.611,4,1.7400000095367432
2026-08-20,5026.KL,85.0,0.667,12,1.850000023841858
2026-08-20,1066.KL,85.0,0.833,12,8.5600004196167
2026-08-22,8907.KL,85.0,0.611,4,1.7300000190734863
2026-08-22,5026.KL,85.0,0.667,12,1.8600000143051147
2026-08-22,1066.KL,85.0,0.833,12,8.600000381469727
2026-08-23,8907.KL,85.0,0.611,4,1.7300000190734863
2026-08-23,5026.KL,85.0,0.667,12,1.8600000143051147
2026-08-23,1066.KL,85.0,0.833,12,8.600000381469727
2026-08-24,8907.KL,85.0,0.611,4,1.7300000190734863
2026-08-24,5026.KL,85.0,0.667,12,1.8600000143051147
2026-08-24,1066.KL,85.0,0.833,12,8.600000381469727
2026-08-25,8907.KL,85.0,0.611,4,1.7300000190734863
2026-08-25,5026.KL,85.0,0.667,12,1.8600000143051147
2026-08-25,1066.KL,85.0,0.833,12,8.600000381469727
