symbol,close,tier,w_score,m_score,resonance,red_ratio,red_streak,sweet_spot,vwap_score,base_trend,dv_daily%,dv_weekly%,dv_monthly%,ad_w_up,ad_m_up,vol_ratio,rel_20d%,turnover_20d,risks,scan_time
7121.KL,0.81,Tier 3,85.0,85.0,85.0,0.0,0,False,6.76,5.76,-0.41,5.04,10.29,0,1,1.55,8.0,3875635.0,放量滞涨,2026-07-25 15:08:32
6432.KL,5.86,Tier 2,85.0,100.0,85.0,0.8333333333333334,2,True,5.02,3.02,0.12,1.81,3.34,0,1,0.04,7.97,238859.0,,2026-07-25 15:08:32
7252.KL,0.88,Tier 3,60.0,85.0,60.0,0.2777777777777778,0,False,7.23,5.23,4.39,5.65,-2.91,1,0,0.81,10.69,357224.0,,2026-07-25 15:08:32
5247.KL,0.505,Tier 3,-55.0,60.0,-55.0,0.0,0,False,7.43,5.43,7.68,6.75,-3.02,0,0,0.11,3.06,314786.0,,2026-07-25 15:08:32
7243.KL,0.28,Tier 3,60.0,-55.0,-55.0,0.0,0,False,1.5,1.5,-0.19,-2.7,-5.36,0,1,0.38,-1.75,463889.0,,2026-07-25 15:08:32
0239.KL,0.85,Tier 1B,100.0,,-999.0,0.4444444444444444,8,False,1.66,1.66,-0.76,-0.65,0.65,0,1,0.89,-0.58,2262851.0,,2026-07-25 15:08:32
5328.KL,1.41,Tier 3,85.0,,-999.0,0.0,0,False,-1.35,1.65,-5.21,0.16,6.38,0,0,2.54,-3.42,1861054.0,放量下跌|弱于板块|放量破日VWAP,2026-07-25 15:08:32
3662.KL,0.595,Tier 3,85.0,85.0,85.0,0.0,0,False,10.85,5.85,3.13,4.19,0.54,1,1,3.89,8.18,600696.0,缩量突破启动,2026-07-25 15:08:32
7087.KL,1.73,Tier 3,-55.0,60.0,-55.0,0.0,0,False,-1.0,0.0,-1.58,-4.83,-7.45,0,0,0.2,-5.49,216526.0,弱于板块,2026-07-25 15:08:32
9792.KL,0.64,Tier 3,60.0,85.0,60.0,0.0,0,False,1.5,1.5,-0.11,-0.58,-0.88,1,0,0.86,0.0,750791.0,,2026-07-25 15:08:32
7246.KL,1.34,Tier 3,85.0,85.0,60.0,0.05555555555555555,0,False,1.5,1.5,-0.36,-0.43,0.0,0,1,6.55,-0.19,365933.0,,2026-07-25 15:08:32
1287.KL,0.405,Tier 3,85.0,85.0,85.0,0.5,0,False,8.09,6.09,-1.91,5.97,20.19,0,1,1.37,6.58,444255.0,,2026-07-25 15:08:32
5908.KL,6.0,Tier 3,85.0,85.0,85.0,0.2222222222222222,0,False,2.55,2.55,-2.06,1.53,2.04,1,0,0.46,-2.6,207015.0,,2026-07-25 15:08:32
5335.KL,2.0,Tier 3,60.0,,-999.0,0.0,0,False,-3.0,0.0,-5.77,-9.21,-5.91,0,0,2.07,-8.66,550435.0,放量下跌|弱于板块|放量破日VWAP,2026-07-25 15:08:32
2658.KL,18.94,Tier 2,100.0,85.0,85.0,0.0,0,False,10.26,9.26,0.66,10.6,18.25,1,1,0.21,0.42,1827864.0,,2026-07-25 15:08:32
