symbol,close,tier,w_score,m_score,resonance,red_ratio,red_streak,sweet_spot,banker_flag,vwap_score,base_trend,dv_daily%,dv_weekly%,dv_monthly%,ad_w_up,ad_m_up,vol_ratio,rel_20d%,turnover_20d,risks,scan_time
2089.KL,33.42,Tier 2,85.0,100.0,85.0,1.0,18,False,混合不一致,2.8,3.8,-1.72,2.72,5.39,0,1,0.22,-4.61,14507563.0,弱于板块,2026-07-26 21:12:07
2445.KL,20.88,Tier 3,85.0,85.0,60.0,0.0,0,False,混合不一致,-0.47,0.53,-2.66,0.53,1.37,0,0,0.48,-8.19,12682970.0,弱于板块,2026-07-26 21:12:07
1899.KL,20.8,Tier 3,85.0,85.0,60.0,0.0,0,False,混合不一致,0.82,1.82,-1.84,-0.12,1.27,1,0,0.0,-9.2,268675.0,弱于板块,2026-07-26 21:12:07
1961.KL,4.43,Tier 3,85.0,85.0,85.0,0.0,0,False,纯游资(无真庄家),2.54,4.54,-0.1,4.53,5.83,1,0,1.52,-3.38,13567044.0,放量滞涨|弱于板块,2026-07-26 21:12:07
5323.KL,2.04,Tier 1B,100.0,,-999.0,0.0,0,False,混合不一致,13.17,11.17,5.43,12.24,14.6,1,1,1.04,5.58,17265905.0,,2026-07-26 21:12:07
5126.KL,5.2,Tier 1,100.0,100.0,85.0,0.2222222222222222,2,False,双强(庄家游资同强),14.73,10.73,4.32,10.04,15.79,1,1,1.53,7.91,2979011.0,,2026-07-26 21:12:07
9059.KL,1.23,Tier 3,85.0,85.0,85.0,0.0,0,False,纯游资(无真庄家),3.1,3.1,2.22,6.33,-0.41,0,0,1.34,-2.0,1144203.0,,2026-07-26 21:12:07
5026.KL,1.87,Tier 1,100.0,100.0,85.0,0.6111111111111112,11,True,双强(庄家游资同强),10.1,9.1,2.26,7.71,18.22,1,1,0.4,2.23,284771.0,,2026-07-26 21:12:07
5012.KL,5.82,Tier 1,100.0,100.0,85.0,0.2777777777777778,5,False,双强(庄家游资同强),11.2,9.2,2.95,7.19,11.17,1,1,0.33,4.36,2051870.0,,2026-07-26 21:12:07
4383.KL,1.11,Tier 3,60.0,85.0,60.0,0.0,0,False,混合不一致,2.11,2.11,2.39,3.29,-1.62,0,0,0.64,-1.42,1499112.0,,2026-07-26 21:12:07
5285.KL,6.63,Tier 1,100.0,100.0,85.0,0.05555555555555555,1,False,双强(庄家游资同强),15.08,8.08,3.58,7.56,10.08,1,0,2.35,2.82,67458035.0,缩量突破启动,2026-07-26 21:12:07
5112.KL,0.6,Tier 3,85.0,85.0,60.0,0.0,0,False,混合不一致,-0.59,0.41,-1.41,1.18,-1.59,0,0,0.4,-4.57,381765.0,弱于板块,2026-07-26 21:12:07
2569.KL,6.08,Tier 3,85.0,85.0,85.0,0.2222222222222222,0,False,混合不一致,7.55,6.55,2.83,3.26,5.12,1,1,0.44,0.48,275741.0,,2026-07-26 21:12:07
6262.KL,2.19,Tier 1,100.0,100.0,85.0,0.9444444444444444,15,False,双强(庄家游资同强),9.47,8.47,2.9,5.18,11.64,1,1,1.2,1.29,265165.0,,2026-07-26 21:12:07
5138.KL,2.44,Tier 3,85.0,85.0,85.0,0.0,0,False,纯游资(无真庄家),9.66,8.66,2.11,7.73,8.45,1,1,0.7,0.83,1372493.0,,2026-07-26 21:12:07
5319.KL,0.645,Tier 3,85.0,,-999.0,0.0,0,False,混合不一致,3.28,4.28,1.96,2.61,4.33,1,0,2.86,-3.1,698078.0,弱于板块,2026-07-26 21:12:07
2453.KL,6.56,Tier 2,85.0,100.0,85.0,0.1111111111111111,1,False,双强(庄家游资同强),12.86,10.86,7.36,7.65,8.96,1,1,0.13,4.43,232041.0,,2026-07-26 21:12:07
5027.KL,2.77,Tier 1,100.0,100.0,85.0,1.0,18,False,混合不一致,5.19,5.19,0.96,3.17,8.8,1,0,0.63,-2.99,326805.0,,2026-07-26 21:12:07
5135.KL,4.38,Tier 1,100.0,100.0,100.0,0.5555555555555556,10,False,双强(庄家游资同强),13.2,11.2,5.49,11.26,17.36,1,1,0.61,8.44,809442.0,,2026-07-26 21:12:07
2291.KL,5.61,Tier 3,85.0,60.0,60.0,0.0,0,False,混合不一致,7.45,7.45,2.32,4.69,7.51,1,1,0.48,-0.48,1140553.0,,2026-07-26 21:12:07
